Time,Measurement,DA
01/07/2012 00.00,0.515833333,0.823958333
01/07/2012 00.15,0.498666667,0.760833333
01/07/2012 00.30,0.440366667,0.697708333
01/07/2012 00.45,0.425266667,0.634583333
01/07/2012 01.00,0.3578,0.5876
01/07/2012 01.15,0.311533333,0.5729
01/07/2012 01.30,0.353166667,0.5582
01/07/2012 01.45,0.393,0.5435
01/07/2012 02.00,0.4416,0.528733333
01/07/2012 02.15,0.426166667,0.513833333
01/07/2012 02.30,0.404866667,0.498933333
01/07/2012 02.45,0.409233333,0.484033333
01/07/2012 03.00,0.411666667,0.478608333
01/07/2012 03.15,0.4161,0.492133333
01/07/2012 03.30,0.448366667,0.505658333
01/07/2012 03.45,0.535566667,0.519183333
01/07/2012 04.00,0.609866667,0.531166667
01/07/2012 04.15,0.626,0.540066667
01/07/2012 04.30,0.632566667,0.548966667
01/07/2012 04.45,0.722766667,0.557866667
01/07/2012 05.00,0.656633333,0.567208333
01/07/2012 05.15,0.6281,0.577433333
01/07/2012 05.30,0.600666667,0.587658333
01/07/2012 05.45,0.579033333,0.597883333
01/07/2012 06.00,0.5578,0.58915
01/07/2012 06.15,0.522966667,0.5425
01/07/2012 06.30,0.473766667,0.49585
01/07/2012 06.45,0.3985,0.4492
01/07/2012 07.00,0.367766667,0.414208333
01/07/2012 07.15,0.384866667,0.402533333
01/07/2012 07.30,0.3883,0.390858333
01/07/2012 07.45,0.427333333,0.379183333
01/07/2012 08.00,0.487666667,0.385816667
01/07/2012 08.15,0.496533333,0.429066667
01/07/2012 08.30,0.572366667,0.472316667
01/07/2012 08.45,0.588133333,0.515566667
01/07/2012 09.00,0.523633333,0.548466667
01/07/2012 09.15,0.534633333,0.560666667
01/07/2012 09.30,0.567966667,0.572866667
01/07/2012 09.45,0.597066667,0.585066667
01/07/2012 10.00,0.5349,0.600366667
01/07/2012 10.15,0.500066667,0.621866667
01/07/2012 10.30,0.549666667,0.643366667
01/07/2012 10.45,0.539466667,0.664866667
