SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,Date,DEMS with imperfect forecast,DROEMS,DEMS with perfect forecast,,,,,,DEMS with imperfect forecast,
83438.96613,0,-16670.37168,7944.668838,23211.8581,1457.238792,,1/7/2030,62126.22283,50041.26515,64270.2153,0.033359037,,54205.10371,62126.22283,50041.26515,62126.22283,56686.46754
47232.57036,0,-4572.994661,7158.887106,17177.50599,1457.238792,,1/8/2030,39224.0745,4661.543485,48532.8678,0.1918039,,2176.13522,39224.0745,4661.543485,39224.0745,5723.956234
71010.86871,0,-25445.23158,13857.87065,4951.798359,1810.131238,,1/9/2030,44575.27747,26484.42976,43459.20813,-0.025680848,,34650.10432,44575.27747,26484.42976,44575.27747,40673.93946
68071.19648,0,2683.472811,13501.70541,16163.50659,-528.3578033,,1/10/2030,67521.96798,17018.54267,97664.52332,0.30863362,,23236.55623,67521.96798,17018.54267,67521.96798,30877.86413
133359.1764,0,-3384.387088,4059.834727,14390.87633,1637.445019,,1/11/2030,127096.6141,77396.51511,131577.6017,0.034055854,,93253.48343,127096.6141,77396.51511,127096.6141,101988.6516
108278.9938,0,-62.98692648,0,4804.698505,1309.236172,,1/12/2030,107255.0672,66920.57943,107227.5226,-0.000256879,,80051.47863,107255.0672,66920.57943,107255.0672,86249.69516
124053.795,0,-18974.02678,7515.850664,5629.330802,-546.0248809,,1/13/2030,103953.9021,88731.28165,110666.6193,0.060657109,,96798.99585,103953.9021,88731.28165,103953.9021,100750.5265
138841.7548,0,-54017.51812,5401.35695,5659.233608,-383.8308463,,1/14/2030,83692.38998,84953.72751,88598.65745,0.055376318,,86145.43088,83692.38998,84953.72751,83692.38998,86940.55184
14187.49516,0,-147.680434,297.4508379,13284.48976,-375.9848604,,1/15/2030,11382.91677,15755.30243,17904.49702,0.364242583,,15756.66844,11382.91677,15755.30243,11382.91677,15603.34573
52865.67471,0,-21521.69073,8743.818536,12970.01804,1119.904781,,1/16/2030,28749.98038,35982.03799,38754.55908,0.258152304,,36510.77539,28749.98038,35982.03799,28749.98038,36291.32672
78207.19546,0,-40390.95042,20841.58135,5233.774497,1069.254518,,1/17/2030,36769.49014,8442.434239,36512.68718,-0.007033253,,19195.50452,36769.49014,8442.434239,36769.49014,28299.58352
6532.345382,0,5922.469622,24750.60716,14794.46501,-448.3812428,,1/18/2030,9495.922002,10040.84288,9754.667793,0.026525331,,9918.802075,9495.922002,10040.84288,9495.922002,9467.010528
61146.49311,0,31091.59145,13254.47552,12126.0278,1446.171162,,1/19/2030,89812.879,86957.86881,94073.79044,0.04529329,,87542.66442,89812.879,86957.86881,89812.879,87982.37151
74027.47219,0,-47929.84831,7475.73692,8261.135173,928.9983486,,1/20/2030,24445.39685,33611.60902,34349.79104,0.288339285,,32423.89234,24445.39685,33611.60902,24445.39685,32418.68571
152287.5646,0,-53526.62429,12944.35973,13681.32517,166.644624,,1/21/2030,96024.67526,113899.8949,113130.1056,0.1512014,,113282.1535,96024.67526,113899.8949,96024.67526,110026.9208
80519.30741,0,-34092.65311,3617.17813,5453.605766,1257.123731,,1/22/2030,45335.93315,51025.98385,55260.65851,0.179598391,,50484.66268,45335.93315,51025.98385,45335.93315,50404.59896
70.25180091,0,228.4713411,0,13960.24825,-385.6107309,,1/23/2030,-2493.326509,-1447.883551,-843.1804845,1.957049593,,-1591.376402,-2493.326509,-1447.883551,-2493.326509,-1573.676321
4124.428953,0,1982.055419,14.6243453,14269.18198,1330.913741,,1/24/2030,3252.647977,1233.816543,3277.489404,0.007579407,,958.4033404,3252.647977,1233.816543,3252.647977,975.7933995
68954.50231,0,-28319.04721,3147.809155,5908.161469,1406.723833,,1/25/2030,39453.82281,42027.97451,44820.69064,0.119740855,,42086.29778,39453.82281,42027.97451,39453.82281,41433.52227
25775.90769,0,-5255.012175,1688.616793,11059.71896,-280.8425126,,1/26/2030,18308.95173,20849.65581,21648.08762,0.15424623,,21211.14756,18308.95173,20849.65581,18308.95173,21368.83798
25256.02267,0,-5407.57307,3736.001925,10931.80752,771.3890352,,1/27/2030,17662.0881,16649.47703,18302.09733,0.034969174,,16693.90633,17662.0881,16649.47703,17662.0881,18010.32436
5290.381355,0,31084.10219,5884.104765,13670.94326,753.6236693,,1/28/2030,33640.2949,34418.7403,37740.88193,0.108651066,,34420.39864,33640.2949,34418.7403,33640.2949,33557.35995
104395.9508,0,21070.61071,7428.765566,17872.64404,1325.020564,,1/29/2030,121892.0327,123383.6591,124119.0238,0.017942383,,123385.2771,121892.0327,123383.6591,121892.0327,123405.9015
192584.1244,0,-30316.76098,4783.060503,10289.33711,2206.934967,,1/30/2030,160209.496,169502.2168,170220.3061,0.058810904,,169503.8081,160209.496,169502.2168,160209.496,169286.3692
24085.58955,0,-38066.28771,19093.78047,6820.721877,652.7043225,,1/31/2030,-15344.84254,17164.46604,16096.28057,1.953316045,,16626.81345,-15344.84254,17164.46604,-15344.84254,16211.27602
18324.95936,0,33057.02162,9209.506623,14265.10097,-62.18001593,,2/1/2030,48528.96078,48130.0942,53625.83758,0.095045169,,48133.90669,48528.96078,48130.0942,48528.96078,48157.55461
29415.44155,0,-1484.484471,0,13438.27379,1496.31913,,2/2/2030,25243.30232,25759.9834,26598.9502,0.050966218,,25901.40167,25243.30232,25759.9834,25243.30232,25924.72002
40870.28023,0,2517.52241,710.194781,18701.82462,1337.219445,,2/3/2030,39647.43772,41927.92928,42522.15612,0.067605189,,42020.2443,39647.43772,41927.92928,39647.43772,42043.25887
4508.63198,0,7315.597601,4520.095833,13630.09219,2462.669205,,2/4/2030,9098.211143,9800.430202,9104.058088,0.000642235,,7048.697352,9098.211143,9800.430202,9098.211143,7071.430394
61492.68843,0,-43467.3844,14755.36826,6593.986338,1409.602585,,2/5/2030,16706.50676,37871.45554,40388.24832,0.586352282,,38050.81577,16706.50676,37871.45554,16706.50676,33973.40001
8727.000366,0,4856.231751,944.469168,13595.44584,-77.24540342,,2/6/2030,10864.14295,11868.99465,12409.63873,0.124539949,,11708.86495,10864.14295,11868.99465,10864.14295,11732.15621
24647.78799,0,-903.297833,366.9739331,12646.83588,1422.711229,,2/7/2030,21215.12298,17607.60725,20106.37669,-0.055144013,,18530.84742,21215.12298,17607.60725,21215.12298,18553.80338
12769.65908,0,29957.58299,14197.26883,14116.02503,1232.648538,,2/8/2030,39904.03706,44257.58933,44938.87106,0.112037394,,44258.74883,39904.03706,44257.58933,39904.03706,44281.39212
108052.6238,0,-68143.27074,18083.93868,9598.172028,1562.148147,,2/9/2030,37989.71864,63900.45305,67126.46681,0.434057527,,60367.51169,37989.71864,63900.45305,37989.71864,58184.52373
170.0219109,0,17.46186069,0,12209.23038,597.1340786,,2/10/2030,-2254.362305,3210.298669,1777.298388,2.268420835,,1554948.126,1603241.315,1496830.518,-2254.362305,398.2753017
23573.81697,0,9185.08829,6652.928716,13328.42343,1172.526701,,2/11/2030,30093.22057,28109.5678,31448.19708,0.043085984,,,,,30093.22057,30684.73378
48952.72352,0,48452.50023,23460.59103,13569.63317,1428.928369,,2/12/2030,94691.29712,92940.40079,94228.27962,-0.004913785,,,,,94691.29712,92862.87715
27948.39453,0,5704.684425,324.1026661,14037.56811,1495.88382,,2/13/2030,30845.56533,33262.44596,34702.55708,0.11114431,,,,,30845.56533,33278.3659
68492.01975,0,40863.24396,9771.70125,10561.81469,1613.840987,,2/14/2030,107242.9008,107146.1555,108268.204,0.009470031,,,,,107242.9008,107172.2493
115684.4273,0,-15850.44493,7969.617697,13434.19797,858.0967381,,2/15/2030,97147.1428,106536.9029,108775.1961,0.106899861,,,,,97147.1428,106608.7216
71730.87865,0,-82189.7987,38952.50242,4393.63938,1506.999159,,2/16/2030,-11337.64793,47847.99317,50787.32004,1.223237767,,,,,-11337.64793,35355.64645
91642.4024,0,-33768.29457,7377.126991,6190.16616,-500.1014073,,2/17/2030,56636.0746,74199.17157,74888.76659,0.243730707,,,,,56636.0746,72559.95624
129898.0286,0,32176.46524,9206.646595,13876.91762,-96.66012325,,2/18/2030,159299.1104,163630.2747,164089.8769,0.029195991,,,,,159299.1104,163657.6318
87409.28892,0,-55666.19707,21433.63907,7800.803808,1632.831477,,2/19/2030,30182.93109,66458.65792,68488.01879,0.559296186,,,,,30182.93109,64929.03288
79701.76975,0,-5823.449827,6446.695564,5735.188874,276.7095479,,2/20/2030,72731.28215,65651.18459,72678.29327,-0.000729088,,,,,72731.28215,69065.59009
85228.20365,0,1865.69053,8424.423128,17327.35801,-185.3077198,,2/21/2030,83628.42258,88987.96615,91533.626,0.086363927,,,,,83628.42258,88875.52414
107591.7231,0,3066.830529,2003.541416,12802.1412,2448.745908,,2/22/2030,108098.1254,109292.1535,110511.1693,0.021835295,,,,,108098.1254,109300.7338
19873.17359,0,2676.298543,3049.077124,12084.52011,1438.873918,,2/23/2030,20132.56811,18801.45445,20621.25281,0.023698109,,,,,20132.56811,19564.25209
80242.93807,0,3863.092199,7379.727075,10167.40341,1288.015412,,2/24/2030,82072.54958,76512.84492,82104.46765,0.000388749,,,,,82072.54958,77753.80385
42206.43204,0,-12216.85194,6882.154994,11273.96832,858.5368895,,2/25/2030,27734.78644,36832.83376,36876.19569,0.247894586,,,,,27734.78644,37274.8649
5960.49679,0,-3314.121713,735.5589462,6695.692736,1123.505351,,2/26/2030,1307.236531,1809.96369,3198.785782,0.591333519,,,,,1307.236531,-734.3067558
12828.16215,0,-9832.38319,3189.548716,5929.078661,71.36410967,,2/27/2030,1809.963226,6892.440083,7492.31224,0.758423946,,,,,1809.963226,7330.656613
134167.8061,0,-4547.476736,1679.57567,4156.920054,-103.0177968,,2/28/2030,128788.9454,114305.6118,131553.2469,0.021012796,,,,,128788.9454,121570.2773
