SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,
83096.9213,0,-15597.20956,7095.46006,23361.99973,1485.920497,,62827.3118
40313.49238,0,-1117.958891,7623.815946,21935.31422,1485.920497,,34808.47064
68518.70207,0,-22979.36015,12231.88111,4397.387942,2724.904288,,44659.86433
64637.79905,0,2891.244363,16267.18704,15798.87693,-633.6754518,,64369.26803
127665.006,0,-2107.285565,7354.433222,15215.37326,1571.207816,,122514.6458
107965.7154,0,-1.13E-11,0,8716.893403,1473.254177,,106222.3367
123685.0406,0,-16624.09128,6306.708946,10694.81892,218.3858315,,104921.9856
135719.5311,0,-50628.8108,4502.3373,4746.522851,610.4033804,,84141.41572
12636.03835,0,2000.612362,469.1394596,13826.01911,-550.0490972,,11871.44688
50836.18084,0,-17623.27645,7835.761725,13339.6281,1237.537718,,30544.97877
74133.53519,0,-36317.16204,17586.41658,4886.733935,1153.622944,,36839.02636
6492.777399,0,5958.563335,24734.51845,14979.79175,-512.4833614,,9455.382384
54990.87978,0,36724.02924,15694.29873,11883.06499,1496.070837,,89338.29602
67513.22892,0,-38644.4549,5607.241005,8404.565969,891.293625,,27187.86083
146900.2187,0,-45657.14895,12239.30516,14883.33473,202.732018,,98266.40281
75034.88699,0,-26461.14368,2096.799443,5750.667634,1511.655375,,47423.60979
0,0,320.7317766,0,14189.8208,-320.2405891,,-2517.232383
784.644236,0,2739.322306,15.84014639,12380.02307,1391.656348,,1047.961928
64721.63954,0,-19594.83267,2326.696698,12002.99451,1036.575105,,42726.20796
25405.7884,0,-4323.131069,1294.61549,11238.27312,969.9781997,,18835.00271
24671.13389,0,-4796.183799,3093.719442,12115.7307,822.9099183,,17451.80396
3665.66498,0,32719.86827,6518.120115,13865.54696,1012.598558,,33612.42386
96224.06626,0,29392.1034,9851.358011,14867.35512,1385.284968,,122642.6986
186665.4844,0,-22670.31078,2625.986931,11843.60668,1607.46265,,161626.4523
23762.89475,0,-31883.05023,15242.42957,8683.242514,990.7861604,,-9856.803979
14012.32592,0,36963.27566,10735.18339,14203.8532,337.8308657,,48134.83095
22291.09717,0,5891.542159,292.2777967,14431.19687,1505.518917,,25296.39995
35641.89707,0,8739.946011,2171.235504,15670.42317,1568.420908,,41247.75845
842.9420342,0,8918.525425,5209.909782,11704.65485,1847.629621,,7420.536488
58540.08672,0,-35057.33863,10928.51744,10475.12691,1017.368743,,21387.72271
7373.722494,0,6219.914804,2266.779485,13675.65264,763.730347,,10858.50677
17307.74682,0,7612.202879,140.4040498,13102.78225,1461.847911,,22299.39325
9342.059227,0,33405.23538,15915.90815,14006.27536,1351.993571,,39946.03953
100905.8372,0,-53602.58476,13179.67823,10429.2248,1561.907798,,45217.40751
2.928854184,0,238.2161165,0,12293.90486,794.8670717,,-2217.636
18414.48294,0,14477.01909,10234.43486,11128.30522,1212.575728,,30665.84098
39203.46639,0,56158.91481,25829.73176,11634.16861,967.5425251,,93035.54749
20486.92842,0,14941.13495,711.8770621,11920.64102,1089.335003,,33043.93516
60252.55045,0,49102.71325,11717.19682,10733.45808,1163.849695,,107208.5721
110185.816,0,-5908.958212,5838.029756,12856.63176,910.3332309,,101705.5314
70471.18179,0,-79248.82838,38403.85316,4285.005233,1395.545713,,-9634.647632
89513.26729,0,-28177.61967,5439.503678,6818.238214,-518.7649276,,59971.99998
125033.0338,0,37197.05472,11865.03143,13415.78024,52.76476577,,159546.9324
85622.72223,0,-45848.84074,15820.14928,7675.398368,1547.386612,,38238.80181
78822.60356,0,-6110.19206,6985.084659,4908.400933,258.6530758,,71730.73131
82026.32949,0,6779.292108,10596.83074,17662.60367,-365.6380038,,85273.10086
105595.7733,0,5027.714189,2584.106514,12925.1308,2547.423137,,108038.4613
19333.54237,0,3151.282961,3642.5226,11741.47308,1483.923696,,20136.53071
77382.4559,0,5754.875053,9414.810597,10306.56102,1224.900664,,81076.01875
41379.7861,0,-10032.52139,5581.322125,11704.32502,904.1383989,,29006.39971
4660.95428,0,-1140.013751,354.1701414,8852.40633,1238.738181,,1750.459263
12771.72927,0,-9417.120181,2794.186369,5087.41992,584.2104661,,2337.12511
131819.5752,0,-2843.1536,1546.048264,5962.004382,-290.6849289,,127784.0207
7727.291976,0,1309.026109,889.5099356,15463.63094,-83.26249589,,5943.591896
4759.798398,0,6733.961426,11678.6486,10060.75014,2157.901434,,9481.609797
23307.77465,0,-3948.68583,643.2093355,11061.22389,898.3075617,,17146.84404
26316.00889,0,-63167.50052,36053.66368,4402.916824,1145.436545,,-37732.07499
95910.21075,0,10776.20834,4640.162737,16518.98305,-431.9883088,,103382.6225
214103.6799,0,-140271.033,31891.73516,3764.162065,2468.531076,,73079.81445
7748.39609,0,5383.837457,41371.0244,12297.76871,-576.9138243,,10672.67981
150720.9964,0,10723.55865,9243.52401,15218.94378,1480.209921,,158400.7663
18887.23699,0,-642.6731253,99.71982042,15049.9469,2203.087245,,15234.57449
29980.6361,0,-28214.52441,15361.55861,4924.918788,2183.788131,,781.1279365
103324.7769,0,3669.005764,9102.054968,11078.92655,-276.5311444,,104777.9973
121108.1078,0,5826.806889,7480.228117,13489.26575,1236.13354,,124237.0615
135471.945,0,3535.42569,20119.72769,9825.107918,1843.189891,,137042.3492
184743.2917,0,-3794.799674,2588.738954,13945.92457,951.6328785,,178159.3071
